Filename,Method,RMSE,MAE,Extrema_MAE,Extrema_MAE_scaled,MAPE_pk,MAVE_vl,Lag,Ref_Angle,Scale_k,RMSE_scaled,MAE_scaled
log_1622_64296,KF_inv,3.1340739284725636,2.515970268384477,2.410087965985739,1.9234747252339672,2.389692267893327,2.431683411024763,10,106.71586846148827,0.9120603015075377,2.815220657319434,1.9978166565026036
log_1622_64296,SG,3.137030538876479,2.4625938827423854,3.918413743672103,3.673899896777757,4.036426653522457,3.7934588979481987,10,123.01126804103589,0.957286432160804,2.8626008296308507,1.9825145329885623
log_1622_64296,KF_on_SG,3.0964502568846672,2.472684357754781,4.081445743277701,3.9955594909748404,4.631208805372706,3.499343677530047,12,127.29343898857107,0.9623115577889447,2.866055894242747,2.002939281594499
log_1626_93118,KF_inv,2.228649625958038,1.839547424014583,2.137656748978575,1.3654802768809031,2.911947555834246,1.422926773419494,13,79.732426142647,1.108040201005025,1.2613415182574768,0.8808575390187982
log_1626_93118,SG,2.5136882976257344,1.96082580663687,2.2160181766940856,1.319705526997921,2.9438827124526448,1.5441432206092616,0,80.07342417485818,1.1030150753768844,1.7341702773158358,1.1322353689997477
log_1626_93118,KF_on_SG,2.605995975730499,2.00141530101703,2.292327252410057,1.2492032094530758,3.124084094381923,1.5245517059744884,4,80.29758678487259,1.1030150753768844,1.8704172539109065,1.2147106773600846
log_1622_85852,KF_inv,2.468865032674216,1.8718498238898365,1.9611431273193871,1.1875369169141834,2.3870454662722667,1.4287652036282878,9,84.13298253122701,1.1281407035175879,1.960874627763834,1.4496357752760156
log_1622_85852,SG,2.530552083801135,1.888251500282232,3.487350471613205,2.378202956745687,3.609558218771001,3.33459078766596,5,86.03596184496753,1.1633165829145728,1.885497731126968,1.2929834199808448
log_1622_85852,KF_on_SG,2.8049450805753726,2.063618970012042,4.058986056472996,2.845400239305945,4.275459871164431,3.7883937881087015,9,86.44899711636968,1.178391959798995,2.185198023092913,1.4727678543563338
log_1626_30685,KF_inv,2.0920711247494284,1.4753202224887083,2.0082368684669953,1.8955997951227752,2.3795812797688045,1.533741231803573,12,87.24370610885305,1.1381909547738693,1.6982997623108669,1.1307730260268594
log_1626_30685,SG,2.8509175926823622,1.9553227007426353,4.246858967444349,4.120587644413048,3.9536524118505714,4.621511788480841,11,87.91555134671026,1.1733668341708543,2.570371188407623,1.5671447497018327
log_1626_30685,KF_on_SG,2.754741748604375,1.8553222880307325,4.40672062550157,4.215942525592484,4.21663041725993,4.649613669365888,14,88.12045314997842,1.1683417085427137,2.341637230411925,1.418365639533206
log_1618_76251,KF_inv,2.478577136913855,1.731863377301902,3.4242341366330025,1.3545386691717112,2.2702183163350185,3.7127380917074984,19,94.41798274818845,0.8768844221105527,2.1662863107446406,1.368088391029462
log_1618_76251,SG,2.5913069247708624,1.9065127402596258,2.0012284125405655,1.576717852403857,2.94572484582514,1.765104304219422,4,93.38781065381649,0.8869346733668342,2.3053449806037363,1.4883907603646016
log_1618_76251,KF_on_SG,2.4043903154984294,1.8001362300460746,1.851072224220887,1.8904141951972833,3.2022696255256875,1.513272873894687,11,93.16370360163984,0.8819095477386935,2.1572158557196515,1.3952578650267728
