ESP Time;Durchschnitt_L;Durchschnitt_R;Geschwindigkeit;Deichsel_Angle;Durchschnitt_L_SE;Durchschnitt_R_SE;Durchschnitt_L_SE2;Durchschnitt_R_SE2;Durchschnitt_L_Be_SE;Durchschnitt_R_Be_SE;Durchschnitt_L_Be_SE2;Durchschnitt_R_Be_SE2
1931;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2031;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2129;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2235;0.000000;0.000000;0.000000;82.839996;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2329;0.000000;0.000000;0.000000;82.720001;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2433;0.000000;0.000000;0.000000;82.779999;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2532;0.000000;0.000000;0.000000;82.659996;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2630;0.000000;0.000000;0.000000;82.720001;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2732;0.000000;0.000000;0.000000;82.599998;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2831;0.000000;0.000000;0.000000;82.779999;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2931;0.000000;0.000000;0.000000;82.720001;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3033;0.000000;0.000000;0.000000;82.779999;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3129;0.000000;0.000000;0.000000;82.659996;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
