ESP Time;Durchschnitt_L;Durchschnitt_R;Geschwindigkeit;Deichsel_Angle;Durchschnitt_L_SE;Durchschnitt_R_SE;Durchschnitt_L_SE2;Durchschnitt_R_SE2;Durchschnitt_L_Be_SE;Durchschnitt_R_Be_SE;Durchschnitt_L_Be_SE2;Durchschnitt_R_Be_SE2
1939;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2037;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2133;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2235;0.000000;0.000000;0.000000;0.500000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2334;0.000000;0.000000;0.000000;92.099998;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2435;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2532;0.000000;0.000000;0.000000;92.039993;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2633;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2735;0.000000;0.000000;0.000000;92.099998;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2835;0.000000;0.000000;0.000000;92.039993;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2932;0.000000;0.000000;0.000000;92.099998;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3035;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3135;0.000000;0.000000;0.000000;92.039993;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3233;0.000000;0.000000;0.000000;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3334;0.000000;0.000000;0.000000;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3434;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3533;0.000000;0.000000;0.000000;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3632;0.000000;0.000000;0.000000;92.039993;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3732;0.000000;0.000000;0.000000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3836;0.000000;0.000000;0.000000;91.980003;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
3933;0.000000;0.000000;-0.500000;92.039993;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4035;0.000000;0.000000;-0.500000;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4133;0.000000;0.000000;-0.500000;92.039993;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4230;0.000000;0.000000;-0.500000;91.980003;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4330;0.000000;0.000000;-0.500000;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4430;0.000000;0.000000;-0.500000;91.879997;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
4530;0.000000;0.000000;-0.500000;92.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
