ESP Time;Durchschnitt_L;Durchschnitt_R;Geschwindigkeit;Deichsel_Angle;Durchschnitt_L_SE;Durchschnitt_R_SE;Durchschnitt_L_SE2;Durchschnitt_R_SE2;Durchschnitt_L_Be_SE;Durchschnitt_R_Be_SE;Durchschnitt_L_Be_SE2;Durchschnitt_R_Be_SE2
5922;0.000000;0.000000;0.416667;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6022;0.000000;0.000000;0.833333;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6122;0.000000;0.000000;0.833333;91.880005;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6222;0.000000;0.000000;1.458333;91.940002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6322;0.000000;0.000000;1.458333;91.939995;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
6422;0.000000;0.000000;1.666667;91.939995;0.000000;0.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000
6522;29.000000;30.000000;1.666667;92.039993;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6622;29.000000;30.000000;1.666667;91.939995;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6722;29.000000;30.000000;2.291667;91.880005;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6822;29.000000;30.000000;2.500000;91.940002;8.000000;9.000000;0.000000;0.000000;5.000000;5.000000;0.000000;0.000000
6922;57.000000;59.000000;2.500000;91.940002;8.000000;9.000000;0.000000;0.000000;33.000000;34.000000;0.000000;0.000000
7022;84.000000;84.000000;2.708333;92.000000;35.000000;34.000000;0.000000;0.000000;33.000000;34.000000;0.000000;0.000000
7122;84.000000;84.000000;2.708333;91.940002;35.000000;34.000000;0.000000;0.000000;33.000000;34.000000;0.000000;0.000000
7222;85.000000;83.000000;2.708333;91.900002;35.000000;34.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7327;85.000000;84.000000;2.916667;91.940002;35.000000;34.000000;0.000000;0.000000;34.000000;34.000000;0.000000;0.000000
7422;85.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
7526;85.000000;84.000000;2.916667;91.839996;35.000000;35.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7627;86.000000;85.000000;2.916667;91.880005;36.000000;36.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7727;85.000000;84.000000;2.916667;91.900002;36.000000;36.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7826;85.000000;84.000000;2.916667;91.880005;35.000000;35.000000;0.000000;0.000000;34.000000;33.000000;0.000000;0.000000
7927;87.000000;85.000000;2.916667;91.839996;36.000000;35.000000;0.000000;0.000000;35.000000;34.000000;0.000000;0.000000
8026;88.000000;87.000000;3.125000;91.839996;37.000000;36.000000;0.000000;0.000000;35.000000;35.000000;0.000000;0.000000
8125;87.000000;88.000000;3.125000;91.720001;36.000000;36.000000;0.000000;0.000000;35.000000;36.000000;0.000000;0.000000
8226;87.000000;90.000000;3.125000;91.720001;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8325;90.000000;90.000000;3.125000;91.599998;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8426;90.000000;90.000000;3.125000;91.660004;38.000000;38.000000;0.000000;0.000000;37.000000;36.000000;0.000000;0.000000
8528;89.000000;89.000000;3.125000;91.660004;37.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8627;91.000000;90.000000;3.125000;91.539993;38.000000;38.000000;0.000000;0.000000;37.000000;36.000000;0.000000;0.000000
8726;91.000000;90.000000;3.125000;91.720001;38.000000;37.000000;0.000000;0.000000;37.000000;37.000000;0.000000;0.000000
8828;91.000000;89.000000;3.125000;91.720001;38.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
8926;90.000000;90.000000;3.125000;91.599998;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
9025;91.000000;90.000000;3.125000;91.539993;39.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
9127;90.000000;90.000000;3.125000;91.599998;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
9227;88.000000;89.000000;3.125000;91.539993;37.000000;38.000000;0.000000;0.000000;35.000000;35.000000;0.000000;0.000000
9325;89.000000;90.000000;3.125000;91.479996;37.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
9426;90.000000;89.000000;3.125000;91.539993;37.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
9525;89.000000;89.000000;3.125000;91.540001;37.000000;37.000000;0.000000;0.000000;37.000000;36.000000;0.000000;0.000000
9626;90.000000;89.000000;3.125000;91.539993;38.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
9727;91.000000;89.000000;3.125000;91.599998;38.000000;37.000000;0.000000;0.000000;37.000000;36.000000;0.000000;0.000000
9822;90.000000;89.000000;3.125000;91.479996;38.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
9922;89.000000;90.000000;3.125000;91.539993;37.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
10022;90.000000;90.000000;3.125000;91.599998;38.000000;38.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
10122;89.000000;89.000000;3.333333;91.539993;37.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
10222;88.000000;88.000000;3.333333;91.479996;37.000000;37.000000;0.000000;0.000000;35.000000;35.000000;0.000000;0.000000
10323;88.000000;88.000000;3.125000;91.479996;37.000000;37.000000;0.000000;0.000000;35.000000;35.000000;0.000000;0.000000
10422;90.000000;88.000000;3.125000;91.419998;38.000000;36.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
10522;89.000000;88.000000;3.125000;91.419998;37.000000;37.000000;0.000000;0.000000;36.000000;35.000000;0.000000;0.000000
10626;89.000000;89.000000;3.125000;91.259995;37.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
10722;90.000000;89.000000;3.125000;91.239998;38.000000;37.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
10827;90.000000;89.000000;3.125000;91.360001;38.000000;37.000000;0.000000;0.000000;36.000000;36.000000;0.000000;0.000000
10928;87.000000;87.000000;2.916667;91.199997;36.000000;37.000000;0.000000;0.000000;35.000000;34.000000;0.000000;0.000000
11025;87.000000;87.000000;3.125000;91.300003;37.000000;36.000000;0.000000;0.000000;34.000000;35.000000;0.000000;0.000000
11125;86.000000;86.000000;3.125000;91.259995;36.000000;36.000000;0.000000;0.000000;34.000000;34.000000;0.000000;0.000000
11226;86.000000;84.000000;2.916667;91.139999;34.000000;35.000000;0.000000;0.000000;33.000000;33.000000;0.000000;0.000000
11327;83.000000;84.000000;2.916667;91.180000;34.000000;35.000000;0.000000;0.000000;33.000000;33.000000;0.000000;0.000000
11426;82.000000;83.000000;2.916667;91.199997;34.000000;34.000000;0.000000;0.000000;32.000000;33.000000;0.000000;0.000000
11525;81.000000;81.000000;2.916667;91.020004;33.000000;33.000000;0.000000;0.000000;32.000000;32.000000;0.000000;0.000000
11627;81.000000;80.000000;2.916667;90.980003;33.000000;32.000000;0.000000;0.000000;32.000000;32.000000;0.000000;0.000000
11725;81.000000;81.000000;2.916667;91.020004;33.000000;33.000000;0.000000;0.000000;32.000000;32.000000;0.000000;0.000000
11826;81.000000;80.000000;2.916667;90.919998;33.000000;33.000000;0.000000;0.000000;32.000000;32.000000;0.000000;0.000000
11927;80.000000;79.000000;2.708333;90.919998;33.000000;33.000000;0.000000;0.000000;32.000000;31.000000;0.000000;0.000000
12024;78.000000;78.000000;2.708333;90.800003;31.000000;32.000000;0.000000;0.000000;31.000000;30.000000;0.000000;0.000000
12126;73.000000;73.000000;2.708333;90.740005;29.000000;29.000000;0.000000;0.000000;28.000000;28.000000;0.000000;0.000000
12226;68.000000;66.000000;2.708333;90.860001;29.000000;25.000000;0.000000;0.000000;26.000000;25.000000;0.000000;0.000000
12325;64.000000;64.000000;2.291667;90.800003;26.000000;25.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
12424;60.000000;60.000000;2.291667;90.919998;23.000000;23.000000;0.000000;0.000000;21.000000;21.000000;0.000000;0.000000
12527;59.000000;57.000000;2.083333;90.860001;22.000000;21.000000;0.000000;0.000000;21.000000;21.000000;0.000000;0.000000
12625;59.000000;58.000000;2.083333;90.860001;22.000000;22.000000;0.000000;0.000000;21.000000;20.000000;0.000000;0.000000
12725;58.000000;60.000000;2.083333;90.740005;23.000000;23.000000;0.000000;0.000000;20.000000;21.000000;0.000000;0.000000
12826;61.000000;61.000000;2.083333;90.800003;23.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
12925;62.000000;62.000000;1.875000;90.740005;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
13028;64.000000;64.000000;1.875000;90.619995;24.000000;24.000000;0.000000;0.000000;24.000000;24.000000;0.000000;0.000000
13122;64.000000;65.000000;2.083333;90.740005;24.000000;25.000000;0.000000;0.000000;24.000000;24.000000;0.000000;0.000000
13222;65.000000;65.000000;2.083333;90.680000;24.000000;25.000000;0.000000;0.000000;25.000000;24.000000;0.000000;0.000000
13322;64.000000;65.000000;2.083333;90.919998;24.000000;25.000000;0.000000;0.000000;24.000000;24.000000;0.000000;0.000000
13422;64.000000;65.000000;2.083333;90.739998;24.000000;25.000000;0.000000;0.000000;24.000000;24.000000;0.000000;0.000000
13522;63.000000;63.000000;2.083333;90.800003;24.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
13622;62.000000;62.000000;2.083333;90.800003;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
13722;62.000000;61.000000;2.083333;90.860001;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
13822;63.000000;61.000000;2.083333;90.740005;24.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
13922;61.000000;60.000000;1.875000;90.740005;23.000000;22.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
14022;62.000000;62.000000;1.875000;90.680000;24.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
14122;62.000000;62.000000;2.083333;90.740005;23.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
14222;62.000000;61.000000;2.083333;90.680000;23.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
14322;61.000000;61.000000;1.875000;90.619995;23.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
14422;63.000000;62.000000;1.875000;90.619995;24.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
14522;61.000000;62.000000;1.875000;90.619995;23.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
14622;62.000000;63.000000;1.875000;90.680000;24.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
14722;62.000000;64.000000;2.083333;90.680000;23.000000;24.000000;0.000000;0.000000;23.000000;24.000000;0.000000;0.000000
14822;62.000000;63.000000;2.083333;90.680000;23.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
14922;62.000000;63.000000;1.875000;90.740005;23.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
15022;62.000000;63.000000;1.875000;90.559998;23.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
15122;61.000000;62.000000;1.875000;90.800003;23.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
15222;62.000000;61.000000;1.875000;90.680000;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
